workload,rep,seed,patient_id,arrival_time,reg_arrival,reg_service_start,reg_service_end,doc_arrival,doc_service_start,doc_service_end,lab_arrival,lab_service_start,lab_service_end,phar_arrival,phar_service_start,phar_service_end,exit_time
demo,2,44,1032,208.14698858627145,208.14698858627145,208.14698858627145,208.16971914619623,208.16971914619623,208.16971914619623,208.21627642173348,,,,208.21627642173348,208.2607398634464,208.35048233875926,208.35048233875926
demo,2,44,1033,208.22750985663217,208.22750985663217,208.22750985663217,208.26683253127604,208.26683253127604,208.26683253127604,208.49478637421353,,,,208.49478637421353,208.49478637421353,208.50510154792713,208.50510154792713
demo,2,44,1034,208.38966179863152,208.38966179863152,208.38966179863152,208.41130557792124,208.41130557792124,208.41130557792124,208.41745061037122,208.41745061037122,208.41745061037122,208.51520452668288,208.51520452668288,208.51520452668288,208.5638583999601,208.5638583999601
demo,2,44,1035,208.85163414667912,208.85163414667912,208.85163414667912,208.89339374673656,208.89339374673656,208.89339374673656,208.9141395767736,,,,208.9141395767736,208.9141395767736,208.9856681586429,208.9856681586429
demo,2,44,1036,209.51119739595035,209.51119739595035,209.51119739595035,209.57652877925247,209.57652877925247,209.57652877925247,209.75650713991405,,,,209.75650713991405,209.75650713991405,209.76166973055786,209.76166973055786
demo,2,44,1037,209.7458865204975,209.7458865204975,209.7458865204975,209.83488087704947,209.83488087704947,209.83488087704947,210.1897419674081,,,,210.1897419674081,210.1897419674081,210.4997808751765,210.4997808751765
demo,2,44,1038,209.85259321281322,209.85259321281322,209.85259321281322,209.95306922792946,209.95306922792946,209.95306922792946,210.17453279070224,,,,210.17453279070224,210.17453279070224,210.60612838827498,210.60612838827498
demo,2,44,1039,209.9402025013377,209.9402025013377,209.9402025013377,210.04968153505314,210.04968153505314,210.04968153505314,210.53299315674838,,,,210.53299315674838,210.61926478579602,210.62706003919067,210.62706003919067
demo,2,44,1040,210.11664172460837,210.11664172460837,210.11664172460837,210.1395560581967,210.1395560581967,210.1395560581967,210.52210142787254,,,,210.52210142787254,210.60612838827498,211.29941210385994,211.29941210385994
demo,2,44,1041,210.15285714305088,210.15285714305088,210.15285714305088,210.20958854079245,210.20958854079245,210.20958854079245,210.37585963216057,,,,210.37585963216057,210.4997808751765,210.61926478579602,210.61926478579602
demo,2,44,1042,210.53644441456157,210.53644441456157,210.53644441456157,210.62457886967766,210.62457886967766,210.62457886967766,210.72845778073815,,,,210.72845778073815,210.84630060183346,210.91090659995243,210.91090659995243
demo,2,44,1043,210.56091217633048,210.56091217633048,210.56091217633048,210.59160913317598,210.59160913317598,210.59160913317598,210.65516293660036,,,,210.65516293660036,210.65516293660036,210.84630060183346,210.84630060183346
demo,2,44,1044,210.68723630623992,210.68723630623992,210.68723630623992,211.0561974142469,211.0561974142469,211.0561974142469,211.29610482387508,211.29610482387508,211.29610482387508,211.4025262612662,211.4025262612662,211.4025262612662,211.56017021511155,211.56017021511155
demo,2,44,1045,210.8713437328922,210.8713437328922,210.8713437328922,210.88258389101975,210.88258389101975,210.88258389101975,211.03581821104825,211.03581821104825,211.03581821104825,211.19473684759794,211.19473684759794,211.19473684759794,211.202127008712,211.202127008712
demo,2,44,1046,211.25635360750013,211.25635360750013,211.25635360750013,211.39360882600357,211.39360882600357,211.39360882600357,211.5578060393366,,,,211.5578060393366,211.5578060393366,211.87624780465083,211.87624780465083
demo,2,44,1047,211.53086325248546,211.53086325248546,211.53086325248546,211.64433655111407,211.64433655111407,211.64433655111407,211.7723681578716,,,,211.7723681578716,211.7723681578716,211.7908821022983,211.7908821022983
demo,2,44,1048,211.73889651534438,211.73889651534438,211.73889651534438,211.7819807985009,211.7819807985009,211.7819807985009,211.79621190191799,211.79621190191799,211.79621190191799,211.86094313778105,211.86094313778105,211.86094313778105,212.10066041400714,212.10066041400714
demo,2,44,1049,211.8249097452503,211.8249097452503,211.8249097452503,211.8295355070399,211.8295355070399,211.8295355070399,212.02012322895345,212.02012322895345,212.02012322895345,212.19281960279488,212.19281960279488,212.19281960279488,212.51679934772318,212.51679934772318
demo,2,44,1050,212.22518782064287,212.22518782064287,212.22518782064287,212.43213110646062,212.43213110646062,212.43213110646062,212.73830818701117,,,,212.73830818701117,212.73830818701117,212.75123575375494,212.75123575375494
demo,2,44,1051,212.3565139014171,212.3565139014171,212.3565139014171,212.38429804213953,212.38429804213953,212.38429804213953,212.74593507464084,,,,212.74593507464084,212.74593507464084,212.78578320999725,212.78578320999725
demo,2,44,1052,212.89573704092953,212.89573704092953,212.89573704092953,212.9694999657036,212.9694999657036,212.9694999657036,213.01375184968936,,,,213.01375184968936,213.01375184968936,213.1024436337734,213.1024436337734
demo,2,44,1053,212.9781082687529,212.9781082687529,212.9781082687529,213.0798528899029,213.0798528899029,213.0798528899029,213.0875088454831,,,,213.0875088454831,213.0875088454831,213.18078201915012,213.18078201915012
demo,2,44,1054,213.18306719417814,213.18306719417814,213.18306719417814,213.44036960960847,213.44036960960847,213.44036960960847,213.44877292903098,,,,213.44877292903098,213.44877292903098,213.689966018545,213.689966018545
demo,2,44,1055,213.27125273121325,213.27125273121325,213.27125273121325,213.29894237254345,213.29894237254345,213.29894237254345,213.31824995768727,,,,213.31824995768727,213.31824995768727,213.32220111486217,213.32220111486217
demo,2,44,1056,213.36888504402063,213.36888504402063,213.36888504402063,213.584677157316,213.584677157316,213.584677157316,213.59469193267012,,,,213.59469193267012,213.59469193267012,213.86482295198834,213.86482295198834
demo,2,44,1057,213.4422786434306,213.4422786434306,213.4422786434306,213.5659428756101,213.5659428756101,213.5659428756101,213.75258815873394,,,,213.75258815873394,213.75258815873394,213.8377595729631,213.8377595729631
demo,2,44,1058,213.54598069473693,213.54598069473693,213.54598069473693,213.7166768967854,213.7166768967854,213.7166768967854,213.79570951358198,213.79570951358198,213.79570951358198,213.8501113100488,213.8501113100488,213.8501113100488,213.97398106343113,213.97398106343113
demo,2,44,1059,213.74354440323503,213.74354440323503,213.74354440323503,213.7559418600099,213.7559418600099,213.7559418600099,213.83853401990748,213.83853401990748,213.83853401990748,213.9657099274324,213.9657099274324,213.9657099274324,214.01121607538872,214.01121607538872
demo,2,44,1060,213.84029696732574,213.84029696732574,213.84029696732574,213.87304924288975,213.87304924288975,213.87304924288975,214.0789538228744,,,,214.0789538228744,214.0789538228744,214.18147055891492,214.18147055891492
demo,2,44,1061,214.15554399825572,214.15554399825572,214.15554399825572,214.16084241368162,214.16084241368162,214.16084241368162,214.96734784446355,,,,214.96734784446355,214.96734784446355,215.38932946108633,215.38932946108633
demo,2,44,1062,214.26920584812035,214.26920584812035,214.26920584812035,214.3411306481018,214.3411306481018,214.3411306481018,214.61467339233798,214.61467339233798,214.61467339233798,214.62167723950031,214.62167723950031,214.62167723950031,214.7006193478969,214.7006193478969
demo,2,44,1063,215.2369464666366,215.2369464666366,215.2369464666366,215.24419884066936,215.24419884066936,215.24419884066936,215.36080724769437,,,,215.36080724769437,215.36080724769437,215.58321724250442,215.58321724250442
demo,2,44,1064,215.3590842405091,215.3590842405091,215.3590842405091,215.39000281853856,215.39000281853856,215.39000281853856,215.70644496617498,,,,215.70644496617498,215.70644496617498,215.87962180902997,215.87962180902997
demo,2,44,1065,215.64198867952308,215.64198867952308,215.64198867952308,215.8575731444505,215.8575731444505,215.8575731444505,215.95355568299573,,,,215.95355568299573,215.95355568299573,216.474736080904,216.474736080904
demo,2,44,1066,215.68674482515837,215.68674482515837,215.68674482515837,215.80777905226955,215.80777905226955,215.80777905226955,215.9385819382194,,,,215.9385819382194,215.9385819382194,215.98604544631732,215.98604544631732
demo,2,44,1067,215.92824531972505,215.92824531972505,215.92824531972505,215.950076190058,215.950076190058,215.950076190058,216.5162626703463,,,,216.5162626703463,216.6182376267333,216.84761259739383,216.84761259739383
demo,2,44,1068,215.9584247744694,215.9584247744694,215.9584247744694,216.0472644159155,216.0472644159155,216.0472644159155,216.2349111733097,,,,216.2349111733097,216.474736080904,216.6182376267333,216.6182376267333
demo,2,44,1069,215.96100389459104,215.96100389459104,215.96100389459104,215.97059686047362,215.97059686047362,215.97059686047362,216.00785346170883,216.00785346170883,216.00785346170883,216.11261606169796,216.11261606169796,216.11261606169796,216.59146245275107,216.59146245275107
demo,2,44,1070,216.06823808435013,216.06823808435013,216.06823808435013,216.10687582640466,216.10687582640466,216.10687582640466,216.38034449548346,216.38034449548346,216.38034449548346,216.45438611028752,216.45438611028752,216.59146245275107,216.6536989731242,216.6536989731242
demo,2,44,1071,216.23293870986947,216.23293870986947,216.23293870986947,216.4393080268816,216.4393080268816,216.4393080268816,216.58721192316395,,,,216.58721192316395,216.6536989731242,216.71223972493127,216.71223972493127
demo,2,44,1072,216.34943013023374,216.34943013023374,216.34943013023374,216.36740911566636,216.36740911566636,216.36740911566636,216.77075652280453,,,,216.77075652280453,216.84761259739383,217.06595668064273,217.06595668064273
demo,2,44,1073,216.4204946657328,216.4204946657328,216.4204946657328,216.43073301317207,216.43073301317207,216.43073301317207,217.03690813208107,,,,217.03690813208107,217.06595668064273,217.41203364423745,217.41203364423745
demo,2,44,1074,216.55416116736356,216.55416116736356,216.55416116736356,216.69788332851292,216.69788332851292,216.69788332851292,216.73419541649955,,,,216.73419541649955,216.73419541649955,216.7458892575195,216.7458892575195
demo,2,44,1075,216.6735569763815,216.6735569763815,216.6735569763815,216.74331498891516,216.74331498891516,216.74331498891516,216.75848808739212,,,,216.75848808739212,216.75848808739212,217.1357691511171,217.1357691511171
demo,2,44,1076,216.78076012764,216.78076012764,216.78076012764,217.16152569040884,217.16152569040884,217.16152569040884,217.62344423036257,,,,217.62344423036257,217.62344423036257,217.6280345730051,217.6280345730051
demo,2,44,1077,217.8343463439497,217.8343463439497,217.8343463439497,217.83581857233412,217.83581857233412,217.83581857233412,217.9557081288431,,,,217.9557081288431,217.9557081288431,217.97996858713793,217.97996858713793
demo,2,44,1078,217.94482521767236,217.94482521767236,217.94482521767236,218.01457568570746,218.01457568570746,218.01457568570746,218.17381152316983,,,,218.17381152316983,218.17381152316983,218.33945591172494,218.33945591172494
demo,2,44,1079,218.26468267141527,218.26468267141527,218.26468267141527,218.33201477139824,218.33201477139824,218.33201477139824,218.54936127309833,,,,218.54936127309833,218.54936127309833,218.6091193777623,218.6091193777623
demo,2,44,1080,218.5561388790307,218.5561388790307,218.5561388790307,218.5828593663108,218.5828593663108,218.5828593663108,218.95512983878103,,,,218.95512983878103,218.95512983878103,219.0285849231526,219.0285849231526
demo,2,44,1081,218.75179596294717,218.75179596294717,218.75179596294717,218.89398487814918,218.89398487814918,218.89398487814918,219.44686415820775,,,,219.44686415820775,219.44686415820775,219.76324090264745,219.76324090264745
demo,2,44,1082,219.65774671098356,219.65774671098356,219.65774671098356,219.6841524939786,219.6841524939786,219.6841524939786,219.92616056075832,,,,219.92616056075832,219.92616056075832,219.9627021267004,219.9627021267004
demo,2,44,1083,220.13229703693412,220.13229703693412,220.13229703693412,220.31935769681746,220.31935769681746,220.31935769681746,220.32176460825073,,,,220.32176460825073,220.32176460825073,220.50323306031652,220.50323306031652
demo,2,44,1084,220.37098045742798,220.37098045742798,220.37098045742798,220.46739397016657,220.46739397016657,220.46739397016657,220.57071060658288,,,,220.57071060658288,220.57071060658288,220.60195063736379,220.60195063736379
demo,2,44,1085,220.37797246724884,220.37797246724884,220.37797246724884,220.4391555125541,220.4391555125541,220.4391555125541,220.47397760310938,,,,220.47397760310938,220.47397760310938,220.56917593053933,220.56917593053933
demo,2,44,1086,220.54360583246503,220.54360583246503,220.54360583246503,220.56078584622483,220.56078584622483,220.56078584622483,220.60158250387465,,,,220.60158250387465,220.60158250387465,220.60470752699044,220.60470752699044
demo,2,44,1087,220.73358562424983,220.73358562424983,220.73358562424983,220.7466724665058,220.7466724665058,220.7466724665058,220.75867756721763,,,,220.75867756721763,220.75867756721763,220.8193118694695,220.8193118694695
demo,2,44,1088,220.9164971354932,220.9164971354932,220.9164971354932,221.13945456938154,221.13945456938154,221.13945456938154,221.69443059865984,,,,221.69443059865984,221.69443059865984,221.76703861314547,221.76703861314547
demo,2,44,1089,221.53360259838297,221.53360259838297,221.53360259838297,221.60843013069788,221.60843013069788,221.60843013069788,221.6783578971488,,,,221.6783578971488,221.6783578971488,222.16576459803733,222.16576459803733
demo,2,44,1090,221.8207773629072,221.8207773629072,221.8207773629072,222.0813285520572,222.0813285520572,222.0813285520572,222.236746266797,222.236746266797,222.236746266797,222.38020225785468,222.38020225785468,222.38020225785468,222.84592306423286,222.84592306423286
demo,2,44,1091,221.8502314859956,221.8502314859956,221.8502314859956,221.96579670897304,221.96579670897304,221.96579670897304,222.25190633417043,,,,222.25190633417043,222.25190633417043,222.90660821317616,222.90660821317616
demo,2,44,1092,221.89763819845012,221.89763819845012,221.89763819845012,221.95148785311727,221.95148785311727,221.95148785311727,222.38521160550866,,,,222.38521160550866,222.84592306423286,222.96677495943146,222.96677495943146
demo,2,44,1093,222.69146620054764,222.69146620054764,222.69146620054764,222.7592314424372,222.7592314424372,222.7592314424372,222.85962795958508,,,,222.85962795958508,222.90660821317616,223.37155483707303,223.37155483707303
demo,2,44,1094,222.95948945724163,222.95948945724163,222.95948945724163,223.05591036915123,223.05591036915123,223.05591036915123,223.35624913820894,,,,223.35624913820894,223.35624913820894,223.74412208363734,223.74412208363734
demo,2,44,1095,223.00592563921862,223.00592563921862,223.00592563921862,223.04293450378628,223.04293450378628,223.04293450378628,223.76352319615503,,,,223.76352319615503,223.76352319615503,223.87363115268465,223.87363115268465
demo,2,44,1096,223.51390882624594,223.51390882624594,223.51390882624594,223.5833664748805,223.5833664748805,223.5833664748805,223.59209630884678,,,,223.59209630884678,223.59209630884678,223.60016041256392,223.60016041256392
demo,2,44,1097,224.033540419813,224.033540419813,224.033540419813,224.31429730045764,224.31429730045764,224.31429730045764,224.67505017410534,,,,224.67505017410534,224.67505017410534,224.77109925737705,224.77109925737705
demo,2,44,1098,224.11293466019515,224.11293466019515,224.11293466019515,224.42094178108866,224.42094178108866,224.42094178108866,224.62862221724063,,,,224.62862221724063,224.62862221724063,224.64248065320518,224.64248065320518
demo,2,44,1099,224.254904896727,224.254904896727,224.254904896727,224.64149439808227,224.64149439808227,224.64149439808227,224.67858453642398,,,,224.67858453642398,224.7668426971504,225.06744853095577,225.06744853095577
demo,2,44,1100,224.2643876650777,224.2643876650777,224.31429730045764,224.44991879018775,224.44991879018775,224.44991879018775,224.7457175379707,,,,224.7457175379707,224.77109925737705,224.8253876554406,224.8253876554406
demo,2,44,1101,224.27820194239118,224.27820194239118,224.42094178108866,224.5892450688688,224.5892450688688,224.5892450688688,224.6000875611313,,,,224.6000875611313,224.6000875611313,224.7668426971504,224.7668426971504
demo,2,44,1102,224.6195531456892,224.6195531456892,224.6195531456892,225.17337331315616,225.17337331315616,225.17337331315616,225.333922108127,,,,225.333922108127,225.333922108127,225.42167436128054,225.42167436128054
demo,2,44,1103,224.67126265142426,224.67126265142426,224.67126265142426,224.9559377544624,224.9559377544624,224.9559377544624,225.10234319213407,,,,225.10234319213407,225.10234319213407,225.11961640582507,225.11961640582507
demo,2,44,1104,225.51836847561043,225.51836847561043,225.51836847561043,225.828129047229,225.828129047229,225.828129047229,226.20540990593213,,,,226.20540990593213,226.20540990593213,226.53467750219787,226.53467750219787
demo,2,44,1105,225.9051592405084,225.9051592405084,225.9051592405084,226.11206023687166,226.11206023687166,226.11206023687166,226.30218897150277,,,,226.30218897150277,226.3590156682823,226.55108542518016,226.55108542518016
